Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Gift Card,Status
nutrimix-nutrition-powder-7,ProteinMix Nutrition Powder (300g),,Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00059.B0_N,649.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%207%2B%20Chocolate%20Nutrition%20Powder_11lndz.jpg?tr=w-600,ProteinMix Nutrition Powder (300g),FALSE,active
mvgummies-7-packof2,Multivitamin Gummies 7+ (60N),"<b>For best results, use consistently for 3 months</b><br/><br/>✅ <b>11+ vitamins & minerals</b> for your child's <b>daily nutritional needs</b>.<br><br>🍎 Contains <b>6 real fruits & vegetables</b>! Fulfills any nutrition gaps in diet due to fussy or picky eating.<br/><br/>🚫 ZERO ADDED SUGAR - Uses a <b>plant derived fiber base</b> for sweetness.</br></br>🛡️ Contains <b>Vitamin C, Turmeric (Haldi), Vitamin B12 & Zinc</b> which are known to <b>boost immunity.</b><br/><br/>💪🏼 Supports <b>antibody production</b> and <b>strengthens the immune system</b> with Vitamin B9, Vitamin D & Vitamin A.<br/><br/><b>🚫 No artificial colours, flavours or preservatives</b>. Only the YUMMIEST, CLEANEST, HEALTHIEST gummy!<br><br><b>60 Gummies | 100% Safe | Paediatrician Recommended <br/><br/> <b>Contains ingredients that help : </b>",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00534.B0_N,849.00,1049.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Multivitamin%20Gummies%207%2B%20%2860N%29_1d2zgc.jpg?tr=w-600,Multivitamin Gummies 7+ (60N),FALSE,active
amla-shampoo,Amla Shampoo (250ml),"<b> Antibacterial and herbal goodness of Amla protects your kid's hair from bacteria and infection! </b><br/><br/>►Deep cleanses the scalp<br/><br/>►Amla and Shikakai's antifungal properties protect the skin from common infections<br/><br/>► Neem helps strengthen hair follicles<br/><br/>►Brahmi helps improve hair health<br/><br/>►Zero parabens, sulfates and toxins, making in 100% safe",Little Joys,personal-care,"personal-care, kids, little-joys",TRUE,Title,Default Title,MWLJHYP.0007.B0_N,399.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/amla-shampoo/2901_CR__1__BGa9EDsCC.jpg?tr=w-600,Amla Shampoo (250ml),FALSE,active
nutrimix-nutrition-powder-vanilla,Nutrimix Nutrition Powder (Vanilla),"🌾<b>5g of Protein </b>per serving of <b>Nutrimix</b>, essential for kids aged 2-6 for <b>overall health and development.</b><br><br>⬆️ <b>Healthy nutrition </b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>23 vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy development</b> with the goodness of <b>almonds and walnuts</b>. <br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>🚫<b> ZERO white sugar</b>. <b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00122.B0_N,649.00,699.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%20Vanilla%20Nutrition%20Powder%202%2B%20%28350g%29_e90omx.jpg?tr=w-600,Nutrimix Nutrition Powder (Vanilla),FALSE,active
activemix-nutrition-powder,ActiveMix Nutrition Powder (300g),"<span style='line-height: 1.5;'><span style='font-size: 20px; font-weight: 600;'>💪 Protein powder for teens that a mom can actually trust.</span><br/><br/><b>Nutrimix 13+</b> gives your teenager 12g of high-quality protein per glass, from a blend of dairy and whole-food sources including almonds, walnuts, brown rice, ragi, and moong dal.<br><br>No refined sugar, lab-tested, and vegetarian.<br/><br/><b>What’s inside?</b><br/>✅ <b>12gm Protein - </b> Supports daily protein needs for growing teens (which can be 22g+ per day!). Fuels energy, focus, and strong bones, not just muscles. <br/>✅ <b>23 Vitamins & Minerals - </b>Covers immunity, energy, brain development, and overall health.<br/>✅ <b>Natural Ingredients - </b>Brown Rice, Almonds, Walnuts, Moong Dal, Ragi, Oats, and Bajra.<br/>✅ <b>No Refined Sugar - </b>Sweetened with Jaggery Powder, Dates Powder, Monk Fruit, and Stevia. Great taste, no guilt.<br/><br/><b>Approved by Moms, Loved by Teens 💛</b><br/>Whether they're in sports, studying long hours, or just growing fast with a packed schedule, two scoops a day helps keep their energy, bone health, and brain development on track.</br></br>Just mix 2 scoops with 200ml of milk or water. Hot or cold. ✨</span></br>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00126.B0_N,699.00,749.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%2013%2B%20Nutrition%20Powder%20%28350g%29_eidzyn.jpg?tr=w-600,ActiveMix Nutrition Powder (300g),FALSE,active
activemix-shaker,ActiveMix Shaker Bottle,"<b>► For Ages 2-5</b><br/><br/> Keeping your kids hydrated just became Peppa-fied! Keep your kids asking for more water/juices with Little Joys Water Bottle. With 300 ml capacity, it will keep your little one healthy and hydrated.<br/><br/>This stainless steel bottle is tough on the outside and inside! Hard to break and 100% leak proof, making it your kid's long-lasting partner.<br/><br/>Since the bottle is BPA-free, it will never leave behind an odour - fill anything without worrying about the bottle stinking post-wash!<br/><br/>This straw-sipper makes drinking easy for kids without worrying about spillage.<br/><br/>On the inside, it is double-walled and insulated, i.e. your drinks can stay how they were poured (hot or cold) for 10+ hours.",Little Joys,others,"others, kids, little-joys",TRUE,Title,Default Title,MWLJGNP.00021.B0_N,249.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/activemix-shaker/shaker%20bottel%20LJ%20new-min_496u7e.png?tr=w-600,ActiveMix Shaker Bottle,FALSE,active
proteinmix-strawberry,Proteinmix 7+ - Strawberry,"The most nutrient packed milk mix in India for overall health & development, made especially to fill nutritional gaps in kids aged 7-12 years.
<br><br>
Fills more than <b>40% of kids' daily protein requirement</b> with 1 glass of milk. 
<br><br>
Zero preservative & refined sugar (like Maltodextrin). Naturally sweetened with <b>dates</b> & <b>jaggery</b>.
<br><br>
Contains 5x more Vitamin D3 to help <b>absorb more nutrients from milk</b>.
<br><br>
Made with natural superfoods like <b>Ragi, Bajra, Almonds, & Walnuts</b>.
<br><br>
Formulated by nutritionists & pediatricians.
<br><br>


",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00177.B0_N,699.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%207%2B%20Strawberry%20Nutrition%20Powder%20%28350g%29_2qbthh.jpg?tr=w-600,Proteinmix 7+ - Strawberry,FALSE,active
proteinmix-700,Proteinmix Powder 7+ (700g),"🌟The most nutrient-packed milk mix in India for overall health & development, made especially to fill nutritional gaps in kids aged 7-12 years.</br></br>

Each serving delivers:</br>
- Fills more than <b>40% of kids' daily protein requirement</b> with 1 glass of milk</br>
- <b>Zero preservatives & refined sugar</b> (like Maltodextrin), naturally sweetened with dates & jaggery</br>
- Contains <b>5x more Vitamin D3</b> to help absorb more nutrients from milk</br>
- Made with natural superfoods like <b>Ragi, Bajra, Almonds, & Walnuts</b></br>
- Formulated by <b>nutritionists & pediatricians</b></br></br>

<b>💛 Perfect for growing kids:</b></br>
Supports <b>energy, growth, immunity, and overall wellness</b> in children aged 7-12, helping them stay active, healthy, and strong every day.",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00169.B0_N,1049.00,1199.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%207%2B%20Pouch%20%28700g%29_ibf9dq.jpg?tr=w-600,Proteinmix Powder 7+ (700g),FALSE,active
calcium-gummies,Calcium Gummies (30N),"For best results, use consistently for <b>3 months</b>.</br></br>🦴 For <b>strong bones & teeth</b> in growing kids.</br></br>🥛 <b>1 gummy = Half a glass of milk</b>.</br></br>😄 These <b>Calcium Gummies</b> have <b>no added sugar</b>.</br></br>🦷 Contains <b>Vitamin D3</b> for better absorption of calcium in the body.</br></br>🌱 Uses a <b>Prebiotic Fiber base</b>, which improves gut health.</br></br>🥭 Its tasty <b>mango flavour</b> makes it easier & tastier to consume than chalky tablets.</br></br>✅ No artificial colours, flavours, GMOs, and gelatin.</br></br><b>30 Gummies | 100% Safe</b></br></br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.</br></br><b>Contains ingredients that help:</b></br>",Little Joys,gummies,"gummies, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00241.B0_N,499.00,549.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Calcium%20Gummies%20Mango%20%2830N%29_cv3gye.jpg?tr=w-600,Calcium Gummies (30N),FALSE,active
proteinmix-nutrition-powder-strawberry-min,Proteinmix Nutrition Powder - Strawberry (300g),"🌾<b>9g of Protein </b>per serving of ProteinMix, essential for kids aged 7-12 for <b> healthy growth & development</b>.<br><br>⬆️ <b>Height growth</b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>24+ vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy weight gain</b> with the goodness of <b>almonds and walnuts</b>. <br><br>☀️ Makes a Healthy & yummy milkshake for kids that are fussy about drinking milk in summers.<br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>🚫<b> ZERO white sugar</b>. <b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00025.B0_N,649.00,699.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/proteinmix-strawberry/Protein-Mix-Hero-image-strawberry-flavour_aw9byn.jpg?tr=w-600,Proteinmix Nutrition Powder - Strawberry (300g),FALSE,active
proteinmix-nutrition-powder-min,Proteinmix Nutrition Powder (300g),"🌾<b>9g of Protein </b>per serving of ProteinMix, essential for kids aged 7-12 for <b> healthy growth & development</b>.<br><br>⬆️ <b>Height growth</b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>24+ vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy weight gain</b> with the goodness of <b>almonds and walnuts</b>. <br><br>☀️ Makes a Healthy & yummy milkshake for kids that are fussy about drinking milk in summers.<br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>🚫<b> ZERO white sugar</b>. <b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00021.B0_N,649.00,699.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrimix-nutrition-powder-7/Slide-1%20%282%29_43vys2.jpg?tr=w-600,Proteinmix Nutrition Powder (300g),FALSE,active
nutrimix-nutrition-powder-min,NutriMix Nutrition Powder (350g),"🌾<b>6g of Protein </b>per serving of <b>Nutrimix</b>, essential for kids aged 2-6 for <b> healthy growth & development</b>.<br><br>⬆️ <b>Height growth</b> with plant-based protein sources like <b>moong dal, peas</B> and <b>brown rice</b>.<br><br>🛡️<b>Boosts immunity </b>with superfoods like <b>ragi & bajra</b> and <b>24+ vitamins & minerals.</b><br><br>💪🏼 Ensures <b>healthy weight gain</b> with the goodness of <b>almonds and walnuts</b>. <br><br>🦴 <b>Calcium </b>to help build <b>strong bones </b>and <b>DHA</b> (omega3) for healthy<b> brain development. </b><br><br>☀️ Makes a <b>Healthy & yummy milkshake</b> for kids that are fussy about drinking milk in summers.<br><br>🚫<b> ZERO white sugar</b>. <b>Naturally sweetened</b> with <b>jaggery</b> and <b>dates</b>.<br><br> 
",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00020.B0_N,599.00,699.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrimix-nutrition-powder/Nutrimiz_WBG_5gjc5h.jpg?tr=w-600,NutriMix Nutrition Powder (350g),FALSE,active
mamamix-nutrition-powder,Nutrimix for Moms- Chocolate (400 g),"<span style='line-height: 1.5;'><span style='font-size: 20px; font-weight: 600;'>🌟 Strength & Recovery, Made Simple For Moms</span><br/><br/>Motherhood is beautiful, but it can take a toll on you. Constant fatigue, aching bones, and hormonal dips aren’t just “being tired.”They’re signs your body, as a mother, needs more than what a regular diet can offer.<br/><br/>This clean, daily nutrition drink is designed just for moms, to <b>rebuild strength</b>, <b>restore energy</b>, and help you feel more like you.<br/><br/><b>What’s inside 2 scoops?</b><br/>✅ <b>12gm Protein - </b> Rebuilds strength, supports recovery<br/>✅ <b>24 Essential Vitamins & Minerals - </b> Helps bridge nutrient gaps<br/>✅ <b>Calcium + Vitamin D3 - </b> Supports bone strength<br/>✅ <b>DHA (Omega-3) - </b> Supports memory & focus<br/>✅ <b>Prebiotics + Probiotics Fibre - </b> Good for gut & metabolism <br/><br/><b>The Clean Label Promise 🌱</b><br/>✔️ No added sugar • No maltodextrin or fillers<br/>✔️ No artificials • No side effects<br/>✔️ Lab-tested • Nutritionist-approved<br/><br/><b>Made for Moms 💛</b><br/>Just add 2 scoops in 200 ml of milk, water or blend into your favourite smoothie and enjoy !<br/><br/>Two scoops won’t change everything. But two scoops, every day? That’s the magic ✨</span>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00339.B0_N,599.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/mamamix-nutrition-powder/thumbnail_3xxd8i.png?tr=w-600,Nutrimix for Moms- Chocolate (400 g),FALSE,active
tomato-sauce,Healthy Tomato Sauce – 200 ml,"🍅 Parents, stop the sugar-loaded ketchup and try this <b>yummy, better alternative instead!</b><br/><br/>💯 Made with <b>28% Tomato Paste and Sweetened with Jaggery.<b> <br/><br/>🚫 <b>Zero</b> preservatives, artificial color, and 0 MSG! Contains onion & garlic <br/><br/> 🍽️ Our Sauce has a shelf life of 9 months <br/><br/>",Little Joys,healthysnacks,"healthysnacks, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00018.B0_N,249.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/sauce-squeezy-bottle/Sauce%201%20%281%29_57qup8.jpg?tr=w-600,Healthy Tomato Sauce – 200 ml,FALSE,active
chocolate-spread,Healthy Chocolate Spread,"🌰 Switch from sugary chocolate spreads to our <b>rich hazelnut and cocoa spread</b> for kids!<br/><br/>🚫 It contains <b>no white or refined sugar of any kind</b> and is sweetened only with jaggery!<br/><br/>🌾 Also has <b>ragi and bajra</b> to promote immunity in kids = what more can a healthy spread have!<br/><br/>🍫 <b>NO</b> preservatives, <b>NO</b> added chemicals, artificial colour and <b>NO</b> palm oil! <br/><br/><b>",Little Joys,healthysnacks,"healthysnacks, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00019.B0_N,449.00,499.00,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Chocolate%20Hazelnut%20Spread%20%28300g%29_c2dcg7.jpg?tr=w-600,Healthy Chocolate Spread,FALSE,active
nutrimix-lite-350,Nutrimix Lite (350g),"► <b>Naturally sweetened</b> with <b>jaggery and dates</b>. Zero white or brown sugar.<br><br>► Contains <b>5 billion CFU</b>, these <b>probiotics</b> help your child have a better <b>gut health</b><br><br>► Contains <b>Ragi, Bajra & Oats</b> for digestive health<br><br>► Combination of <b>plant based natural protein</b> like Moong Dal, Brown Rice & Peas to fuel a child’s growing body<br><br>► Includes <b>almonds, walnuts, chia</b> and <b>flax seeds</b><br><br>► <b>Boosts immunity</b>, strength & <b>overall development</b><br><br>► 1 jar = 1 month's supply<br><br><b>No side effects | Paediatrician Recommended | Gluten Free </b><br><br>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTK.00367.B0_N,549.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrimix-lite-350/Nutrimix%20lite%202%2B%20350gm%20Bottle%20Chocolate__lzlxu2.png?tr=w-600,Nutrimix Lite (350g),FALSE,active
nutrishake-milkshake,NutriShake (150g),"🌾<b>6g of protein </b>per serving of Nutrimix, essential for kids aged 2-6 for healthy growth & development.<br><br>🥛 Can be had as morning milk or a yummy afternoon milkshake! <br><br>⬆️ Height growth with plant-based protein sources like <b>moong dal, peas & brown rice</b>.<br><br>🛡️Boosts immunity with superfoods like <b>ragi & bajra</b> and <b>23 vitamins & minerals.</b><br><br>💪🏼 Ensures healthy weight gain with the goodness of <b>almonds and walnuts</b>. <br><br>🦴 <b>Calcium </b>to help build strong bones and <b>DHA</b> (Omega3) for brain development.<br><br>🚫<b> No refined sugar or maltodextrin</b>. Naturally sweetened with <b>dates</b> and <b>jaggery</b>.<br><br>
<b>To be given only under medical advice by a physician or certified dietician or nutritionist for children 2–5 years.</b>",Little Joys,milkmix,"milkmix, kids, little-joys",TRUE,Title,Default Title,MWLJNTP.00017.B0_N,399.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrishake-milkshake/Revised-Mango-Fv-Hero-img_g9cp7m.jpg?tr=w-600,NutriShake (150g),FALSE,active
multivitamin-toothpaste,Multivitamin Toothpaste (Fluoride) - 80 g,"<b> 🦷 India's 1st Multivitamin Toothpaste for kids </b><br/><b> 5️⃣ For Ages 5+</b><br/><br/>🍓 Our Strawberry flavoured Multivitamin Toothpaste makes brushing teeth fun for your little one!<br/><br/>🌱 Made with natural vitamins like Vitamin B, Vitamin D3 and Vitamin E that protect gums and increase shine! <br/><br/>💯 Improves gum health and reduces the chances of cavities.<br/><br/>💨Leaves a refreshing taste in your child's mouth!<br/><br/><b>100% safe | Mineral Free | SLS Free</b> ",Little Joys,personal-care,"personal-care, kids, little-joys",TRUE,Title,Default Title,MWLJDCP.00011.B0_N,199.00,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Multivitamin%20Toothpaste%205%2B_eefdgc.jpg?tr=w-600,Multivitamin Toothpaste (Fluoride) - 80 g,FALSE,active
