Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status,Metafield: custom.bh_concern [string],Metafield: custom.bh_gender [string],Metafield: custom.bh_segment [string],Metafield: custom.bh_score [integer],Metafield: custom.bh_follow_up [string]
nutrimix-nutrition-powder-min,NutriMix Chocolate 2+ (350g),,Little Joys,,Nutrition,"energy, nutrition, protein, growth, milk, Little Joys, nutrition",TRUE,Title,Default Title,nutrimix-nutrition-powder-min,0,shopify,100,continue,manual,599,699,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/nutrimix-nutrition-powder/Nutrimiz_WBG_5gjc5h.jpg?tr=w-600,1,NutriMix Chocolate 2+ (350g),FALSE,NutriMix Chocolate 2+ (350g),,,,,,new,FALSE,,,,,,,g,,,TRUE,599,699,active,,,,,
nutrimix-nutrition-powder-vanilla,NutriMix Vanilla 2+ (350g),,Little Joys,,Nutrition,"energy, nutrition, protein, growth, milk, Little Joys, nutrition",TRUE,Title,Default Title,nutrimix-nutrition-powder-vanilla,0,shopify,100,continue,manual,649,699,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%20Vanilla%20Nutrition%20Powder%202%2B%20%28350g%29_e90omx.jpg?tr=w-600,1,NutriMix Vanilla 2+ (350g),FALSE,NutriMix Vanilla 2+ (350g),,,,,,new,FALSE,,,,,,,g,,,TRUE,649,699,active,,,,,
nutrimix-nutrition-powder-strawberry,NutriMix Strawberry (350g),,Little Joys,,Nutrition,"energy, nutrition, protein, growth, milk, Little Joys, nutrition",TRUE,Title,Default Title,nutrimix-nutrition-powder-strawberry,0,shopify,100,continue,manual,699,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%20Strawberry%20Nutrition%20Powder_3yhb0p.jpg?tr=w-600,1,NutriMix Strawberry (350g),FALSE,NutriMix Strawberry (350g),,,,,,new,FALSE,,,,,,,g,,,TRUE,699,,active,,,,,
nutrimix-nutrition-powder-7,NutriMix 7+ Chocolate (300g),,Little Joys,,Nutrition,"energy, nutrition, protein, growth, school, Little Joys, nutrition",TRUE,Title,Default Title,nutrimix-nutrition-powder-7,0,shopify,100,continue,manual,649,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Nutrimix%207%2B%20Chocolate%20Nutrition%20Powder_11lndz.jpg?tr=w-600,1,NutriMix 7+ Chocolate (300g),FALSE,NutriMix 7+ Chocolate (300g),,,,,,new,FALSE,,,,,,,g,,,TRUE,649,,active,,,,,
neem-bodywash-new,Neem Bodywash (250ml),,Little Joys,,Personal Care,"skin, skin, bodywash, neem, natural, Little Joys, personal-care",TRUE,Title,Default Title,neem-bodywash-new,0,shopify,100,continue,manual,249,349,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Neem%20Bodywash_g4k2xe.jpg?tr=w-600,1,Neem Bodywash (250ml),FALSE,Neem Bodywash (250ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,249,349,active,,,,,
aloe-shampoo-new,Aloe Vera Shampoo (200ml),,Little Joys,,Personal Care,"hair, hair, shampoo, aloe, gentle, Little Joys, personal-care",TRUE,Title,Default Title,aloe-shampoo-new,0,shopify,100,continue,manual,324,399,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Aloe%20Vera%20Shampoo%20%28250ml%29_jyp0ok.jpg?tr=w-600,1,Aloe Vera Shampoo (200ml),FALSE,Aloe Vera Shampoo (200ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,324,399,active,,,,,
amla-shampoo,Amla Shampoo (250ml),,Little Joys,,Personal Care,"hair, hair, shampoo, amla, natural, Little Joys, personal-care",TRUE,Title,Default Title,amla-shampoo,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/amla-shampoo/2901_CR__1__BGa9EDsCC.jpg?tr=w-600,1,Amla Shampoo (250ml),FALSE,Amla Shampoo (250ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,,,,,
multivitamin-toothpaste,Multivitamin Toothpaste (80g),,Little Joys,,Personal Care,"energy, teeth, oral, toothpaste, fluoride, Little Joys, personal-care",TRUE,Title,Default Title,multivitamin-toothpaste,0,shopify,100,continue,manual,199,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Multivitamin%20Toothpaste%205%2B_eefdgc.jpg?tr=w-600,1,Multivitamin Toothpaste (80g),FALSE,Multivitamin Toothpaste (80g),,,,,,new,FALSE,,,,,,,g,,,TRUE,199,,active,,,,,
peppa-body-lotion-for-kids,Moisturizing Body Lotion (200ml),,Little Joys,,Personal Care,"skin, skin, lotion, moisturiser, dry skin, Little Joys, personal-care",TRUE,Title,Default Title,peppa-body-lotion-for-kids,0,shopify,100,continue,manual,349,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/peppa-body-lotion-for-kids/2850%20Cr%206_5jxs82.jpg?tr=w-800,1,Moisturizing Body Lotion (200ml),FALSE,Moisturizing Body Lotion (200ml),,,,,,new,FALSE,,,,,,,g,,,TRUE,349,,active,,,,,
millet-chocos,Millet Choco Crunch (250g),,Little Joys,,Healthysnacks,"energy, snack, millet, healthy snack, Little Joys, healthysnacks",TRUE,Title,Default Title,millet-chocos,0,shopify,100,continue,manual,299,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/millet-chocos/Millet%20Chocos_j0d2yj.jpg?tr=w-600,1,Millet Choco Crunch (250g),FALSE,Millet Choco Crunch (250g),,,,,,new,FALSE,,,,,,,g,,,TRUE,299,,active,,,,,
chocolate-spread,Healthy Chocolate Spread (300g),,Little Joys,,Healthysnacks,"energy, snack, spread, chocolate, healthy, Little Joys, healthysnacks",TRUE,Title,Default Title,chocolate-spread,0,shopify,100,continue,manual,449,499,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Chocolate%20Hazelnut%20Spread%20%28300g%29_c2dcg7.jpg?tr=w-600,1,Healthy Chocolate Spread (300g),FALSE,Healthy Chocolate Spread (300g),,,,,,new,FALSE,,,,,,,g,,,TRUE,449,499,active,,,,,
peanut-butter-chocolate,Chocolate Peanut Butter (500g),,Little Joys,,Healthysnacks,"energy, snack, peanut butter, protein, healthy, Little Joys, healthysnacks",TRUE,Title,Default Title,peanut-butter-chocolate,0,shopify,100,continue,manual,399,,TRUE,TRUE,https://i.mscwlns.co/media/misc/others/Chocolate%20Peanut%20Butter%20-%20500%20g_ao9euh.jpg?tr=w-600,1,Chocolate Peanut Butter (500g),FALSE,Chocolate Peanut Butter (500g),,,,,,new,FALSE,,,,,,,g,,,TRUE,399,,active,,,,,
millet-pancake,Millet Pancake Mix,,Little Joys,,Healthysnacks,"energy, snack, millet, breakfast, healthy, Little Joys, healthysnacks",TRUE,Title,Default Title,millet-pancake,0,shopify,100,continue,manual,199,,TRUE,TRUE,https://i.mscwlns.co/media/misc/pdp/millet-pancake/Slide%201.1_2v686j.jpg?tr=w-600,1,Millet Pancake Mix,FALSE,Millet Pancake Mix,,,,,,new,FALSE,,,,,,,g,,,TRUE,199,,active,,,,,
